"Timestamp","Quality","Manufacturer","Phone Model","OS","Rooted","Baseband version","Source","Encoder","Application Location","Version","User Message"
"","Voice Line Quality","unknown","Android SDK built for x86_64","Emulator","","","","","","","- Emulator works fine!"
"","Voice Line Quality","unknown","Android SDK built for x86","Emulator","","","","","","","- Emulator works fine!"
"","Low Bandwidth Opponent Side","LGE","Nexus 5X","3.10.73-lineageos-gcdc93dc, 14.1-20180205-NIGHTLY-bullhead, Android: 7.1.2","Yes","M8994F-2.6.37.2.21","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.28","- No opponent side unless rooted
- If rooted, can record low bandidth only opponent side."
"2/7/2018 2:22:31","Voice Line Quality","motorola","Nexus 6","3.10.40-g0f791f8, 14.1-20180202-NIGHTLY-shamu, Android: 7.1.2","Yes","MDM9625_104670.31.05.51R","Auto (default)","3gp, aac","User Installed","1.5.29","Thank you so much!"
"2/8/2018 4:31:23","Voice Line Quality","Samsumg","Galaxy S5","Lineage 14.1","No","G900FXXU1POH1","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.25",""
"2/8/2018 4:33:00","Voice Line Quality","OnePlus","ONEPLUS A3003 = 3T","3.18.31-perf , Android: 7.1.1, OxygenOS 4.1.3","No","MPSS.TH.2.0.c1.9-00102-M8996FAAAANAZM-1.88834.1.89286.1","Auto (default)","3gp, aac","User Installed","1.5.29","Survey's answer options for first questions are a bit unclear.

I'm using AAC encodec b/c storage estimate was best.

Recording seems to start second or couple after I answer call.

Reasons I use this program are: no ads, required permissions (no need for network, etc.), available options, open source.

Add help for file name custom format. I had to search %X-""variables"" from sourcecode. It was ok for me, but not for normal user.

Could you keep also few older change logs visible in play store? Version number and changes in that version.

If things keep working like now, I could consider a donation :)"
"2/8/2018 11:26:48","Voice Line Quality","Alcatel (TCL)","OT-6039Y","5.0.2","Yes","M8916AAAAANLYD2020513.1","Auto (default)","3gp, aac","User Installed","1.5.24","Works as well as Skvalex CR but free of charge. Thanks a lot to developer.This app one of two app that works on my devices."
"2/8/2018 11:47:30","Voice Line Quality","Samsung","GT-I9100","4.1.2","Yes","I9100XXMS2","Auto (default)","3gp, aac","User Installed","1.5.24","Works as well as Skvalex CR but free of charge. Thanks a lot to developer. This app one of two app that works on my devices."
"2/8/2018 23:13:26","Voice Line Quality","LGE","G6 H870DS","7.0 stock","No","MPSS.TH.2.0.c3.1-00018-M8996FAAAANAZM-1.115847","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.24","Sound is very low (not enough gain ? ), but good quality (22k)"
"2/14/2018 12:22:10","Voice Line Quality","Micromax","Micromax A310","3.4.67, Android: 4.4.2","No","MOLY.WR8.W1315.MD.WG.MP.V35, 2014/06/30 15:14","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.29",""
"2/14/2018 14:49:27","Voice Line Quality","xiaomi","Redmi Note 3 SE","3.10.105, Android: 7.1.2","Yes","976_GEN_PACK-1.103654.1.105572.1","Auto (default)","3gp, aac","User Installed","1.5.29","The best app ever! Thank you!"
"2/16/2018 12:24:23","No Opponent Side","LG","LG-D820 (nexus 5 north america)","android 6.0.1","No","USA /canada model","Auto (default)","ogg, wav, flac, m4a, mp3, opus","System Preinstalled","1.4.14","On google nexus 5 boutgh in canada and up to date, non rooted, conversation is only recorded for my side"
"2/17/2018 10:28:10","Opponent sound is very quiet","motorola","XT1580","3.10.84-perf-ge1ecd45, Android: 7.0","No","M8994_1255341.44.01.95.02R KINZIE_EMEA_CUST","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.29",""
"2/18/2018 6:01:12","Voice Line Quality","Fairphone","FP2","LineageOS","Yes","4437.1-FP2-0-07","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.29","The app starts with a dialogue asking me to enable/disable 4 options (starting with Call Recordings Support) but the ok-button (/text) stays grey (/disabled) and cannot be clicked, no matter which options I disable or enable. So the dialogue never dissappears."
"2/20/2018 17:32:07","No Opponent Side","Lenovo","Moto G5","Android 7.0","Yes","no idea","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.32",""
"2/20/2018 22:29:03","Voice Line Quality","Vernee","Active","VOS 1.0.0.","No","Vernee Active","Voice Line","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.32","Will Call Recorder with VOS 1.0.0 ( based on Android 7 ) work on Vernee Active phone?"
"2/21/2018 22:30:11","No Opponent Side","motorola","PHOTON Q","3.0.101-g6897514, 14.1-20170707-port ilichva-xt907_jbbl, Android: 7.1.2","Yes","VANQUISH_U_BP_100700.220.65.33P","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.32",""
"2/25/2018 13:39:01","Mic Quality","OnePlus","A0001","3.4.113-lineageos-gbe73925, 14.1-20180220-NIGHTLY-bacon, Android: 7.1.2","Yes","DI.3.0.c6-00241-M8974AAAAANAZM-1","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.32","Other side is too low. Can we get option to select and delete multiple recordings"
"2/26/2018 22:43:12","Voice Line Quality","LENOVO","Lenovo A2010-a","3.10.65, Android: 5.1","No","MOLY.LR9.W1444.MD.LWTG.MP.V8.P31, 2016/03/01 11:13","Voice Line","ogg, wav, flac, m4a, mp3, opus","System Preinstalled","1.5.32",""
"2/28/2018 0:12:18","Voice Line Quality","samsung","SM-J730F","3.18.14-11460356, Android: 7.0","No","J730FXXU1AQF1","Auto (default)","3gp, aac","User Installed","1.5.32",""
"2/28/2018 2:31:06","Voice Line Quality","samsung","GT-I8160(P/L)","3.0.31-A2N-gd9b52b8d, 11-20171230-UNOFFICIAL-codinap, Android: 4.4.4","Yes","I8160XXNF2","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.32","Other side is too low."
"2/28/2018 12:12:53","Voice Line Quality","OnePlus","ONEPLUS A3003","3.18.71-lineageos-g810c3ee, Android: 8.1.0","Yes","MPSS.TH.2.0.c1.9-00102-M8996FAAAANAZM-1.99649.1.118107.1","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.32","Help for file name metacharacters."
"2/28/2018 22:35:14","هردوطرف","samsung","SM-G610F","3.18.14-12721818, Android: 7.0","No","G610FDDU1BQJ4","Auto (default)","3gp, aac","User Installed","1.5.32","ضبط صدا
"
"3/2/2018 4:55:58","Voice Line Quality","Xiaomi","Redmi Note 3","3.10.105-lineageos-g92430f1, 14.1-20180221-NIGHTLY-kenzo, Android: 7.1.2","Yes","976_GEN_PACK-1.103654.1.105572.1","Auto (default)","3gp, aac","System Preinstalled","1.5.32","Спасибо за приложение! Вы супер!"
"3/3/2018 13:12:02","Mic Quality","samsung","SM-J200H","3.10.65-1193033, Android: 5.1.1","No","J200HXXU0APF1","Auto (default)","3gp, aac","User Installed","1.5.32",""
"3/3/2018 14:55:28","Mic Quality","samsung","SM-G532F","3.18.19-11901177, Android: 6.0.1","No","G532FXXU1AQG5","Auto (default)","ogg, wav, flac, m4a, mp3, opus","System Preinstalled","1.5.32",""
"3/3/2018 18:56:18","Voice Line Quality","samsung","SM-G532F","3.18.19-11901177, Android: 6.0.1","Yes","G532FXXU1AQG5","Auto (default)","3gp, aac","User Installed","1.5.32",""
"3/3/2018 19:15:54","Regarding a problem","HUAWEI","RNE-L22","4.1.18-gaea566a, Android: 7.0","No","21C60B269S002C000,21C60B269S002C000","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.33","Incoming calls Ain't get recorded tho"
"3/6/2018 15:33:45","محمد","HUAWEI","HUAWEI Y336-U02","3.10.17, Android: 4.4.2","No","TM_BASE_MP_II_HUAWEI_W16.06|sc7731g_CP0_modem|08-12-2016 09:28:14","Auto (default)","3gp, aac","User Installed","1.5.32",""
"3/7/2018 14:41:02","Voice Line Quality","OnePlus","ONEPLUS A3003","3.18.66-perf , Android: 8.0.0","No","MPSS.TH.2.0.c1.9-00102-M8996FAAAANAZM-1.99649.1.118107.1","Auto (default)","3gp, aac","User Installed","1.5.32","Top 👍👍👍"
"3/7/2018 18:10:52","No Opponent Side","samsung","SM-G950F","4.4.13-12640043, Android: 7.0","No","G950FXXU1AQL5","System Default","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.33","Hi
I think I've tried all sources, and not hearing counterparty."
